0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
125.0,125.0,125.0,125.0,125.98611111111111,125.28625,124.90527777777778,124.60402777777777,138.53458333333333,128.50541666666666,123.75291666666666,124.65388888888889,194.83083333333335,163.52708333333334,115.77583333333334,123.13833333333334
116.0,116.0,116.0,116.0,117.3951388888889,116.32319444444444,116.660625,116.13368055555556,132.36402777777778,120.42819444444444,116.16555555555556,116.43493055555555,195.21756944444445,159.3527777777778,114.88958333333333,116.09881944444444
108.0,108.0,108.0,108.0,109.51777777777778,108.50743055555556,108.95229166666667,108.16041666666666,126.68611111111112,113.44513888888889,108.17541666666666,108.47715277777777,194.95583333333335,154.22743055555554,106.80868055555555,108.13763888888889
99.0,99.0,99.0,99.0,100.85520833333334,99.53520833333333,100.27111111111111,99.34715277777778,120.49604166666667,105.54319444444444,99.19555555555556,99.52388888888889,194.53555555555556,149.0475,97.834375,99.16590277777777
90.0,90.0,90.0,90.0,92.19125,90.86791666666667,92.358125,90.43590277777778,114.90416666666667,98.07319444444444,90.24111111111111,90.54652777777778,194.66145833333334,144.03270833333335,89.12263888888889,90.53729166666666
82.0,82.0,82.0,82.0,84.33951388888889,82.8776388888889,84.35048611111111,82.44236111111111,110.16909722222222,91.536875,82.24048611111111,82.55840277777777,193.85534722222224,139.22756944444444,81.03986111111111,82.51534722222222
73.0,73.0,73.0,73.0,75.38479166666667,73.87965277777778,75.41048611111111,73.50076388888888,103.99236111111111,84.05527777777777,73.29229166666667,73.76625,192.89041666666665,133.7370138888889,73.21277777777777,73.96652777777778
64.0,64.0,64.0,64.0,66.66743055555555,65.06104166666667,66.79826388888888,64.56715277777778,97.72965277777777,77.16569444444444,64.44423611111111,64.80416666666666,192.41041666666666,130.1951388888889,65.83125,65.05451388888889
56.0,56.0,56.0,56.0,58.68388888888889,57.05555555555556,58.78743055555555,56.57465277777778,93.086875,70.8079861111111,56.431111111111115,56.80652777777778,192.7032638888889,125.4942361111111,57.799375,57.054652777777775
47.0,47.0,47.0,47.0,49.71055555555556,48.062777777777775,49.83409722222222,47.591388888888886,86.89486111111111,63.90979166666666,47.431875,47.823819444444446,192.27416666666667,120.00951388888889,48.801319444444445,48.05798611111111
38.0,38.0,38.0,38.0,40.773125,39.06791666666667,40.876875,38.627361111111114,81.32618055555555,57.16631944444445,38.44451388888889,38.84569444444445,192.11388888888888,114.84076388888889,39.88791666666667,39.07659722222222
30.0,30.0,30.0,30.0,32.793055555555554,31.14,32.86729166666667,30.65277777777778,76.24743055555555,51.38430555555556,30.431180555555557,30.867013888888888,192.44381944444444,110.72069444444445,31.80548611111111,31.054791666666667
21.0,21.0,21.0,21.0,23.800069444444443,22.14090277777778,23.89138888888889,21.654444444444444,67.35229166666667,42.48888888888889,21.431875,21.877152777777777,184.3373611111111,101.86111111111111,22.807291666666668,22.057986111111113
